epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1319.78,0.67245,0.63742,0.84681,0.78016,0.84615,0.80868,0.36154,2.00718,1.20028,1.43392,8.95213e-05,8.95213e-05,8.95213e-05
134,1329.81,0.80213,1.64871,1.03265,0.78091,0.84615,0.79868,0.36053,2.00798,1.2004,1.44258,8.20908e-05,8.20908e-05,8.20908e-05
135,1339.97,0.59709,0.6386,0.87991,0.78108,0.84615,0.79868,0.36054,2.01425,1.20285,1.4459,7.50674e-05,7.50674e-05,7.50674e-05
136,1350.27,0.7353,0.72607,0.95563,0.78131,0.84615,0.80221,0.34872,2.01675,1.20366,1.44805,6.8454e-05,6.8454e-05,6.8454e-05
137,1360.29,0.82647,0.6283,0.99954,0.78131,0.84615,0.80221,0.34872,2.01675,1.20366,1.44805,6.22537e-05,6.22537e-05,6.22537e-05
138,1370.25,0.58601,0.66415,0.8674,0.78145,0.84615,0.80868,0.35187,2.01997,1.20064,1.44644,5.64691e-05,5.64691e-05,5.64691e-05
139,1380.46,0.82186,0.90979,1.04903,0.78153,0.84615,0.79868,0.3482,2.02969,1.19758,1.44737,5.11027e-05,5.11027e-05,5.11027e-05
140,1390.41,0.73211,0.65516,0.95896,0.78134,0.84615,0.80869,0.33823,2.02941,1.19589,1.44799,4.61569e-05,4.61569e-05,4.61569e-05
141,1400.57,0.57716,0.65326,0.89545,0.78134,0.84615,0.80869,0.33823,2.02941,1.19589,1.44799,4.16339e-05,4.16339e-05,4.16339e-05
142,1410.56,0.86498,0.81499,0.89837,0.78177,0.84615,0.80868,0.3443,2.03226,1.20711,1.45562,3.75356e-05,3.75356e-05,3.75356e-05
143,1420.81,0.55594,0.67908,0.87205,0.78215,0.84615,0.79868,0.34055,2.04234,1.22041,1.46097,3.38639e-05,3.38639e-05,3.38639e-05
144,1431.36,0.87245,0.83801,0.89069,0.78283,0.84615,0.79868,0.33866,2.04239,1.23425,1.46548,3.06204e-05,3.06204e-05,3.06204e-05
145,1441.41,0.7018,0.70688,1.00529,0.78283,0.84615,0.79868,0.33866,2.04239,1.23425,1.46548,2.78064e-05,2.78064e-05,2.78064e-05
146,1450.57,0.53669,0.64842,0.84512,0.78254,0.84615,0.79292,0.3368,2.05401,1.23903,1.46876,2.54233e-05,2.54233e-05,2.54233e-05
147,1460.19,0.86278,0.82202,1.03501,0.78216,0.84615,0.78887,0.33466,2.05866,1.24086,1.47194,2.34721e-05,2.34721e-05,2.34721e-05
148,1470.64,0.93609,0.94705,0.94961,0.78239,0.84615,0.78887,0.33701,2.06944,1.24117,1.47047,2.19535e-05,2.19535e-05,2.19535e-05
149,1480.71,0.70705,0.7026,0.85285,0.78239,0.84615,0.78887,0.33701,2.06944,1.24117,1.47047,2.08684e-05,2.08684e-05,2.08684e-05
150,1490.63,0.91322,0.86309,0.98754,0.7824,0.84615,0.78887,0.33867,2.06944,1.24685,1.47346,2.02171e-05,2.02171e-05,2.02171e-05
